2022-08-22 10:15:05.083  INFO [,,] 19644 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 11.0.5 on DESKTOP-QMAC5CD with PID 19644 (E:\Angular_Projects\PensionManagementSystem-master\PensionManagementSystem-master\Pension-Management-portal\target\classes started by MUDIT MANGAL in E:\Angular_Projects\PensionManagementSystem-master\PensionManagementSystem-master\Pension-Management-portal)
2022-08-22 10:15:05.186  INFO [,,] 19644 --- [restartedMain] c.c.PensionManagementPortalApplication   : No active profile set, falling back to default profiles: default
2022-08-22 10:15:05.410  INFO [,,] 19644 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-22 10:15:05.412  INFO [,,] 19644 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-22 10:15:10.788  INFO [,,] 19644 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-22 10:15:10.808  INFO [,,] 19644 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 8 ms. Found 0 JPA repository interfaces.
2022-08-22 10:15:11.456  INFO [,,] 19644 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=b6efebc2-bb64-3a73-b714-eba9624e96b9
2022-08-22 10:15:14.156  INFO [,,] 19644 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9085 (http)
2022-08-22 10:15:14.202  INFO [,,] 19644 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-22 10:15:14.202  INFO [,,] 19644 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-22 10:15:14.499  INFO [,,] 19644 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-08-22 10:15:14.499  INFO [,,] 19644 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 9086 ms
2022-08-22 10:15:14.612  INFO [,,] 19644 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-22 10:15:15.040  INFO [,,] 19644 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-22 10:15:15.053  INFO [,,] 19644 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:b7fcfdc1-57d6-4e88-a5c6-74bcd7e19ea7'
2022-08-22 10:15:16.373  INFO [,,] 19644 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-22 10:15:16.657  INFO [,,] 19644 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-08-22 10:15:17.554  INFO [,,] 19644 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-08-22 10:15:17.870  INFO [,,] 19644 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-22 10:15:18.661  INFO [,,] 19644 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-22 10:15:18.724  INFO [,,] 19644 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-22 10:15:18.819  WARN [,,] 19644 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-08-22 10:15:19.065  WARN [,,] 19644 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-08-22 10:15:21.219  INFO [,,] 19644 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9085 (http) with context path ''
2022-08-22 10:15:21.698  INFO [,,] 19644 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-08-22 10:15:21.725  INFO [,,] 19644 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-08-22 10:15:21.734  INFO [,,] 19644 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-08-22 10:15:21.919  INFO [,,] 19644 --- [restartedMain] c.c.PensionManagementPortalApplication   : Started PensionManagementPortalApplication in 18.751 seconds (JVM running for 20.619)
2022-08-22 10:20:00.895  INFO [,,] 19644 --- [http-nio-9085-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-22 10:20:00.897  INFO [,,] 19644 --- [http-nio-9085-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-08-22 10:20:00.899  INFO [,,] 19644 --- [http-nio-9085-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2022-08-22 10:20:01.784  INFO [,ad2a7ee5abdb8ac7,ad2a7ee5abdb8ac7] 19644 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : STARTED - doLogin
2022-08-22 10:20:20.325  INFO [,ad2a7ee5abdb8ac7,ad2a7ee5abdb8ac7] 19644 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : END - doLogin
2022-08-22 10:20:23.743  INFO [,5d9bd086ba650dbb,5d9bd086ba650dbb] 19644 --- [http-nio-9085-exec-5] c.c.controller.PensionController         : STARTED - allDetail
2022-08-22 10:20:24.734  INFO [,5d9bd086ba650dbb,5d9bd086ba650dbb] 19644 --- [http-nio-9085-exec-5] c.c.controller.PensionController         : END - allDetail
2022-08-22 10:21:03.342  INFO [,821cdf35722807c9,821cdf35722807c9] 19644 --- [http-nio-9085-exec-7] c.c.controller.PensionController         : STARTED - allDetail
2022-08-22 10:21:03.387  INFO [,821cdf35722807c9,821cdf35722807c9] 19644 --- [http-nio-9085-exec-7] c.c.controller.PensionController         : END - allDetail
2022-08-22 10:23:11.961  INFO [,b0b7d528d6a50caa,b0b7d528d6a50caa] 19644 --- [http-nio-9085-exec-9] c.c.controller.PensionController         : STARTED - allDetail
2022-08-22 10:23:12.058  INFO [,b0b7d528d6a50caa,b0b7d528d6a50caa] 19644 --- [http-nio-9085-exec-9] c.c.controller.PensionController         : END - allDetail
2022-08-22 10:27:16.053  INFO [,5f283bccaf99b096,5f283bccaf99b096] 19644 --- [http-nio-9085-exec-1] c.c.controller.PensionController         : STARTED - doLogin
2022-08-22 10:27:16.297  INFO [,5f283bccaf99b096,5f283bccaf99b096] 19644 --- [http-nio-9085-exec-1] c.c.controller.PensionController         : END - doLogin
2022-08-22 10:27:20.439  INFO [,6982ae0fb36ef677,6982ae0fb36ef677] 19644 --- [http-nio-9085-exec-3] c.c.controller.PensionController         : STARTED - allDetail
2022-08-22 10:27:20.839  INFO [,6982ae0fb36ef677,6982ae0fb36ef677] 19644 --- [http-nio-9085-exec-3] c.c.controller.PensionController         : END - allDetail
2022-08-22 13:56:10.741  WARN [,,] 19644 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h23s262ms930µs500ns).
2022-08-22 14:25:50.367  WARN [,,] 19644 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=29m29s55ms893µs300ns).
