2022-08-22 10:10:48.844  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] nsionDisbursementMicroserviceApplication : Starting PensionDisbursementMicroserviceApplication using Java 11.0.5 on DESKTOP-QMAC5CD with PID 18664 (E:\Angular_Projects\PensionManagementSystem-master\PensionManagementSystem-master\pension-disbursement-microservice\target\classes started by MUDIT MANGAL in E:\Angular_Projects\PensionManagementSystem-master\PensionManagementSystem-master\pension-disbursement-microservice)
2022-08-22 10:10:49.220  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] nsionDisbursementMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-08-22 10:10:49.438  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-22 10:10:49.539  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-22 10:10:51.059  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-22 10:10:51.073  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 7 ms. Found 0 JPA repository interfaces.
2022-08-22 10:10:52.053  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=5c3759df-218f-38ad-b0df-eaad1930406b
2022-08-22 10:10:59.111  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9083 (http)
2022-08-22 10:10:59.235  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-22 10:10:59.236  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-22 10:10:59.672  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-08-22 10:10:59.673  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 10133 ms
2022-08-22 10:10:59.783  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-22 10:11:01.034  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-22 10:11:01.042  INFO [PensionDisburesmentService,,] 18664 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:4e92061c-8902-49df-9ba5-29afac863c64'
2022-08-22 10:11:02.650  WARN [PensionDisburesmentService,,] 18664 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=java.util.concurrent.TimeoutException: RestTemplateSender{http://localhost:9411/api/v2/spans} check() timed out after 1000ms}]
